n-gram,PMI
transgender alongside lopsided,20.48333765086445
transgender undergo cosmetic,18.181172810798518
transgender upenn swimmer,16.941443872035176
providers transgender advocates,16.246905776258693
gay bisexual transgender,16.09703032783979
transgender swimmer lia,16.08928934000657
endorse transgender claims,15.898375150143295
establishing transgender rights,15.58411806860886
service providers transgender,15.176516448367295
banning transgender athletes,14.891948880983861
first openly transgender,14.623581030847028
transgender advocates claim,14.438373624400242
radical transgender movement,14.247976114501796
by establishing transgender,13.712448553840634
transgender service members,13.485388390429211
first transgender model,13.40118860951058
transgender advocates want,13.271375634708736
transgender medical treatments,12.547305263565221
radical transgender ideology,12.429751107225275
are transgender alongside,12.312021831768014
transgender ideology made,12.244361845285681
transgender ideology says,12.234973441990064
allow transgender athletes,11.799864481993144
transgender rights laws,11.632139583471805
as transgender undergo,11.534664501351095
identify as transgender,11.482223209899892
discrimination against transgender,11.163224800636684
transgender athletes from,10.98577090334038
identified as transgender,10.933213877841368
transgender movement is,10.664477564659293
would allow transgender,10.63747937002097
commenting transgender activists,10.634863741481254
themselves as transgender,10.579970242487796
with commenting transgender,10.450936260962166
its first transgender,10.441462606493907
by transgender activists,10.358739336207016
allowing transgender people,10.313573673479553
identifies as transgender,10.301330329732721
ban on transgender,10.275903273558441
to endorse transgender,10.161355885284912
transgender ideology which,10.094148075440835
from transgender activists,10.044187589565702
bisexual and transgender,10.0434002418583
against transgender athletes,9.987946564700167
center for transgender,9.952615487354116
transgender activists are,9.81718487699952
transgender activist who,9.759115428407846
reject the transgender,9.75822720647352
the transgender ideology,9.693616922238753
association for transgender,9.692615141609963
the transgender movement,9.632696324389663
out as transgender,9.551563989960606
transgender demand that,9.471085332759493
transgender activists have,9.45531003884117
they are transgender,9.334644740728685
transgender ideology is,9.321114216589677
a transgender character,9.311556207513988
transgender and non-binary,9.290493103823074
for transgender equality,9.278136068907038
a transgender model,9.060017440518017
the transgender lobby,9.038335125666258
2 of transgender,8.984682323313713
against transgender people,8.94910242867001
a transgender woman,8.8948672542383
10 of transgender,8.881304583468406
inclusion of transgender,8.819344591367056
transgender activists who,8.812944845137515
transgender ideology s,8.77823500713248
transgender day of,8.713427410674953
a transgender activist,8.55764472129379
obama s transgender,8.53799070983883
for transgender athletes,8.515803754582407
the transgender trend,8.472737949812029
transgender ideology has,8.440891664830474
a transgender individual,8.325114312808708
transgender ideology by,8.292187532484014
transgender girls from,8.27305285542085
of transgender individuals,8.248433774411225
transgender man who,8.239954986082438
the transgender industry,8.23924781959225
on transgender athletes,8.231073492097657
transgender athletes are,8.194564250219834
to ban transgender,8.175663721968796
for transgender students,8.140361765883675
support for transgender,8.03258379205753
a transgender man,8.00001013115375
transgender non-binary and,7.995037220296901
that transgender athletes,7.986151650369614
gay and transgender,7.954146345081973
sports from transgender,7.908113574984945
transgender ideology in,7.8528322519168725
the radical transgender,7.791068035690785
for transgender health,7.7166482085518595
the transgender community,7.707776725635455
to allow transgender,7.680229195548293
a transgender student,7.65259312534905
transgender people are,7.6082323188871825
the transgender advocates,7.597762534280278
thomas a transgender,7.56767948616298
for transgender people,7.55096019999602
the transgender agenda,7.54648202933658
transgender athletes to,7.543971906871377
on transgender ideology,7.507283286679183
policy on transgender,7.482135256265373
