n-gram,PMI
were assigned at birth,6.360216653509838
assigned male at birth,6.138861198824593
sex assigned at birth,5.869818684189319
assigned female at birth,5.4441142598586225
assigned sex at birth,4.869818684189319
gender assigned at birth,3.398512965263734
they were assigned at,3.367400334099898
sex they were assigned,2.9837152535235063
gender they were assigned,2.8205318299602453
was assigned at birth,1.7052817434965633
assigned at birth in,0.6599313382981364
assigned at birth and,0.17202368730379192
assigned at birth the,0
the sex assigned at,0
the gender assigned at,0
to the sex assigned,0
