title,dateTime
Justice secretary announces new restrictions for transgender inmates in women’s prisons,October 13 2022
Meet the brave transgender refugee staging the ‘world’s first’ LGBTQ+ Afghan protest,August 10 2022
Brave eight-year-old transgender girl sues Tennessee over vile anti-trans bathroom law,August 6 2022
‘Comedian’ Dave Chappelle brands critics ‘transgender lunatics’ and calls monkeypox a ‘gay disease’,July 22 2022
Republican who blamed Uvalde school shooting on ‘transgender medicine’ wins primary,June 15 2022
Donald Trump ridiculed for saying teachers shouldn’t ‘teach transgender’ to kids,May 29 2022
Congresswoman Marjorie Taylor Greene thinks Democrats are going to turn ‘kids gay and transgender’,May 22 2022
Alabama governor signs ‘most anti-transgender legislative package ever’ into law,April 8 2022
Relentlessly anti-trans congresswoman Marjorie Taylor Greene denies ‘hating transgenders’,March 18 2022
Meet the transgender reverend fighting ‘cruel and barbaric’ lawmakers for trans kids across Texas,March 14 2022
"On eve of Transgender Day of Remembrance, two trans women killed in the US: ‘It’s devastating’",November 20 2021
This fab Transgender Artists Bundle on itch.io aims to raise much-needed funds for trans developers,September 14 2021
Shon Faye knocks right-wing professor Jordan Peterson off number one spot with The Transgender Issue,September 13 2021
Black transgender woman and talented makeup artist Pooh Johnson shot dead. She was just 25-years-old,September 1 2021
Teenager goes on incredible fundraising mission to help vaccinate transgender community,July 31 2021
Drag Race star A’keria C Davenport shares gender journey: ‘I used to live my life as a transgender woman’,July 16 2021
Twitch streamers celebrate as brand-new transgender tag goes live: ‘I’m happy it’s finally here’,May 27 2021
‘We’ve finally made it’: Streamers ecstatic as Twitch finally add transgender tag – and hundreds more,May 24 2021
Student booted from sorority for TikTok video mocking Biden’s transgender health secretary Dr Rachel Levine,May 16 2021
Trans weightlifter set to make Olympics history as first out transgender competitor,May 6 2021
Pentagon officially ends Trump’s discriminatory ban on transgender people serving in the military,March 31 2021
Transgender reverend cried ‘tears of joy’ after becoming minister of her own church,March 31 2021
"Almost all young people would support a friend who came out as transgender, heartening research finds",March 31 2021
Wetherspoons worker sacked for calling transgender colleague ‘a thing’ and ‘it’,March 25 2021
Dr Rachel Levine makes history as first trans official confirmed by Senate and makes solemn promise to transgender youth,March 25 2021
Man charged with hate crime after allegedly beating transgender woman with a skateboard,March 14 2021
School calls in counsellors after children were read ‘inappropriate’ storybook about a transgender child,March 13 2021
‘Harry Potter and the Transgender Witch’ fan spin-off brings much-needed trans representation to Hogwarts,March 9 2021
"Rurangi: how to stream, release date and trailer for award-winning transgender series set in New Zealand",March 8 2021
Trans in Trumpland: how to watch the powerful new documentary on transgender lives in the Trump era,March 1 2021
School district suspends literacy program after teacher reads class a storybook about a transgender child,February 13 2021
Scottish government withdraws amendment to exempt ‘criticism of transgender identity’ from hate crime law after backlash,February 1 2021
Eddie Izzard wants to become the UK’s first-ever transgender MP,January 31 2021
MPs urged by anti-trans ‘women’s rights’ group to eliminate ‘transgenderism’ and scrap Gender Recognition Act,January 27 2021
Scottish government wants to exempt ‘criticism of transgender identity’ from proposed hate crime law,January 27 2021
When will Marvel add a transgender character like DC’s Nia Nal to the MCU – and who should it be?,January 13 2021
Meet the trailblazing transgender Bond girl and Playboy model who fought tirelessly for equal rights,January 5 2021
"Italy’s coronavirus vaccine rollout will forcibly out transgender and non-binary people, campaigners warn",January 4 2021
Transgender woman shot dead on Christmas Day in suspected hate crime. She was misgendered by police in her death,December 29 2020
Hateful Russian bishop thinks Joe Biden ‘should be imprisoned’ for supporting transgender children,December 29 2020
BBC media editor applauds JK Rowling’s ‘bravery’ and names error-strewn transgender essay one of the best reads of the year,December 21 2020
"Parent of trans child artfully debunks ‘tired, illogical’ claim being transgender ‘is a teenage fad’",December 21 2020
Trans police officer insists he’s ‘not a traitor’ as he urges more transgender people to join the force and enact change,December 16 2020
Transgender couple feel ‘blessed’ and ‘complete’ after proud dad gives birth to twins,December 13 2020
Fox News host Tucker Carlson calls transgender children a ‘nationwide epidemic’ in vile on-air rant,December 7 2020
Judge grants leniency to transgender women who beat up an abusive transphobe,December 7 2020
Lush finally apologises to transgender community after brutal backlash over donations to anti-trans pressure group,December 2 2020
Trans woman begged on the streets after fleeing home. Now she’s Pakistan’s first transgender lawyer,November 30 2020
Anti-LGBT+ Christian activist claims Joe Biden is forming a ‘transgender atheist army’,November 29 2020
Last chance for trans people and cis allies to make their voices heard in transgender equality inquiry,November 26 2020
Transgender choirs unite to celebrate the brilliance and resilience of their community in historic and heartfelt concert,November 20 2020
At least 350 transgender people have been murdered in the last year alone – with 152 in Jair Bolsonaro’s Brazil,November 20 2020
4 devoted and loving transgender couples who will make your heart melt: ‘Trans love is a revolution’,November 19 2020
Meet the transgender trailblazers fighting to empower their community against a tide of surging transphobia,November 18 2020
"11 out, proud and influential transgender politicians making waves in 2020",November 15 2020
Bangladesh makes history with first-ever Islamic college for transgender Muslims,November 15 2020
Norway bans hate speech against bisexual and transgender people,November 12 2020
Joe Biden appoints trailblazing transgender war veteran to presidential transition team,November 12 2020
Joe Biden is the first president-elect in US history to include transgender people in his victory speech,November 8 2020
BBC director general Tim Davie says it’s ‘not controversial to be transgender’ while clarifying rules on staff attending Pride,November 5 2020
"If you’re looking for good news, America is on track to double its number of transgender lawmakers",November 4 2020
Native American transgender woman Stephanie Byers just shattered ‘lavender ceiling’ by getting elected in Kansas,November 4 2020
LGBT+ rights champion Sarah McBride just became the first transgender state senator in US history,November 4 2020
These 8 heinous attacks on transgender lives by the Trump administration would be put right by a Biden presidency. Quickly,November 3 2020
"Angel Haynes, a ‘free-spirited, smart and giving’ transgender woman, shot dead as anti-trans violence spirals in Trump’s America",November 2 2020
Labour’s Katherine Foy could become the most powerful transgender person in British politics,October 29 2020
"After 36 long years, a transgender veteran has finally been granted the honourable discharge she deserves",October 27 2020
Workers quit ‘LGBT-friendly’ vegan sushi bar after owner claims transgender people are controlled ‘by spirits’,October 27 2020
"Media coverage of transgender issues is ‘catalyst’ in young people seeking support, says landmark study",October 24 2020
Two trans women shot dead while walking down the street as transgender violence spirals in Trump’s America,October 15 2020
Joe Biden condemns Donald Trump for ‘turning a blind eye to epidemic of violence against transgender women of colour’,October 15 2020
Polyamorous transgender Satanic high priestess explains why she’s running for office as a Republican,October 14 2020
Police officer confesses to murdering his transgender ex-girlfriend ‘out of jealousy’ after leading efforts to find her,October 13 2020
2020 is officially the deadliest year for transgender violence since records began – and there’s still three months left,October 9 2020
Transgender woman viciously stabbed and had her throat cut by gang of men ‘simply because she’s trans’,October 7 2020
Rupert Everett complains that the transgender rights movement has ‘completely overshadowed’ gay issues,October 3 2020
"Belgium’s new deputy prime minister, Petra De Sutter, is now the most senior transgender politician in Europe",October 1 2020
